Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Bloomfield Heights Park,West Jordan,84081,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60372833800005,-112.04076458999998",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.60372833800005,-112.04076458999998,,No,Yes,No
Bluffdale City Park,Bluffdale,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.489665294000076,-111.95217655399995",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,40.489665294000076,-111.95217655399995,"Add a rock to the painted rock snake! Heads up: it’s BYO volleyball net, but the infrastructure is there. So is the rodeo arena! There’s a stage and some Wild West-esque wooden storefronts. Needs more trees!",No,No,Yes
Bluffdale Heights Park,Bluffdale,84065,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.47650696200003,-111.90913997399997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.47650696200003,-111.90913997399997,,No,No,Yes
Bolton Park,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.56734586400006,-111.99592869399999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.56734586400006,-111.99592869399999,,No,No,No
Boulder Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.560387785000046,-111.99852253399996",No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.560387785000046,-111.99852253399996,,No,No,No
Bowery Park,South Jordan,84009,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.557745444000034,-111.99867148999999",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.557745444000034,-111.99867148999999,,No,No,Yes
Bowstring Park,South Jordan,84095,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.56076432400005,-112.01333833199999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.56076432400005,-112.01333833199999,Sandy playgrounds make falling more fun! ,No,Yes,Yes
Brickerhaven III Park,Draper,84020,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51245582200005,-111.89803197099997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.51245582200005,-111.89803197099997,This is just a grassy area that is smaller than the home lots in the neighborhood. ,No,No,No
Bridle Farms Park,West Valley City,84128,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.69833798600007,-112.05348304099999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.69833798600007,-112.05348304099999,,No,Yes,No
Brigadoon Park,West Jordan,84088,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.581825571000024,-111.93278795699996",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.581825571000024,-111.93278795699996,,No,No,Yes
Brigham Young Historic Park,Salt Lake City,84150,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.771608257000025,-111.88814660699995",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.771608257000025,-111.88814660699995,"It’s unfortunate that the most charming part of this park is gated. But when the gates are open for summer concerts, etc. it can be delightful! The big fields around the gated area are good for a picnic or quick dog frisbee toss.",No,No,No
Brookside Park,South Jordan,84095,5,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.56107094200007,-112.00708212599994",Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,40.56107094200007,-112.00708212599994,"Lots of great features, well-loved by the community. ",No,No,Yes
Browns Meadow Park,West Jordan,84088,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.58524190800006,-111.95341252999998",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,40.58524190800006,-111.95341252999998,Love the gender neutral bathrooms! Very accessible ,No,Yes,Yes
Bruce Field,Kearns,84118,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.66439127700005,-111.99377072199997",Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.66439127700005,-111.99377072199997,Cute little field for play and playground.,No,Yes,No
Bubbling Brook Park,Draper,84020,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53778546600006,-111.90156652899998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.53778546600006,-111.90156652899998,"There is a fence around the park and it looks like there are improvements in the works, but right now there is nothing there. ",No,No,No
Butler Park,Cottonwood Heights,84121,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.61549813700003,-111.81539254099994",Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,40.61549813700003,-111.81539254099994,"This is a soccer park! Soccer nets everywhere. Lots of field space for play, saw some people with spike ball.",No,Yes,Yes
Buttercup Park,Sandy,84092,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.56830579000007,-111.84870685899995",Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,40.56830579000007,-111.84870685899995,"The two hoop basketball court is not full size. 

The park just got a new playground area last summer (June I believe). It is more fun, but less little kid friendly. ",No,No,Yes
Bywater Park ,Cottonwood Heights,84121,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.61738549000006,-111.80431250099997",Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,40.61738549000006,-111.80431250099997,Lots of grass for chilling. Softball and baseball field and a batting cage. ,No,Yes,Yes
Callendar Square,South Jordan,84095,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53906013300008,-111.99866202199996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.53906013300008,-111.99866202199996,Grassy area with jogging paths ,No,Yes,No
Camelot Park,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.61942925200003,-111.94411483599998",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.61942925200003,-111.94411483599998,,No,No,Yes
Canyon Rim Park,Millcreek,84109,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.70375966700004,-111.80550686799995",Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.70375966700004,-111.80550686799995,"Great big field for play. A few lovely, shady picnic areas. A sandbox?! Couldn't find a recycling bin, though.",No,Yes,Yes
Canyonview Park,Riverton,84096,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52847161400007,-111.99495220899996",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,40.52847161400007,-111.99495220899996,"Brand new, colorful playground with shade. Multiple soccer fields!",No,No,Yes
Canyonview Southeast Park,Riverton,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52451821900007,-111.99436593399997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.52451821900007,-111.99436593399997,,No,No,No
